seed,policy,cost_weight,top_k_candidates,test_scenarios,candidate_grid_size,candidate_ac_audits,candidate_ac_audits_avoided,audit_reduction_ratio,full_best_in_subset_rate,same_action_as_full_rate,post_action_violating_scenarios,full_post_action_violating_scenarios,extra_violating_scenarios_vs_full,post_action_violating_buses,full_post_action_violating_buses,extra_violating_buses_vs_full,action_cost_proxy_mw,full_action_cost_proxy_mw,action_cost_delta_vs_full_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw
7,VoltGuard risk-cost candidate screening,0.0,1,120,9,120,960,0.8888888888888888,0.8583333333333333,0.8583333333333333,51,51,0,398,398,0,67.23933338785275,59.14266215081935,8.096671237033405,188.48472138345863,2.7462315710236043,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.0,2,120,9,240,840,0.7777777777777778,0.875,0.875,51,51,0,398,398,0,66.54718306525916,59.14266215081935,7.404520914439814,189.17687170605222,2.0540812484300206,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.0,3,120,9,360,720,0.6666666666666666,0.9,0.9,51,51,0,398,398,0,66.02671742383518,59.14266215081935,6.884055273015832,189.6973373474762,1.5336156070060403,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.0,5,120,9,600,480,0.4444444444444444,0.9333333333333333,0.9333333333333333,51,51,0,398,398,0,62.314830197966984,59.14266215081935,3.172168047147636,190.0571301341289,1.1738228203533354,61.14100737761365
7,VoltGuard risk-cost candidate screening,0.02,1,120,9,120,960,0.8888888888888888,0.8583333333333333,0.8583333333333333,51,51,0,398,398,0,67.23933338785275,59.14266215081935,8.096671237033405,188.48472138345863,2.7462315710236043,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.02,2,120,9,240,840,0.7777777777777778,0.875,0.875,51,51,0,398,398,0,66.54718306525916,59.14266215081935,7.404520914439814,189.17687170605222,2.0540812484300206,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.02,3,120,9,360,720,0.6666666666666666,0.9,0.9,51,51,0,398,398,0,66.02671742383518,59.14266215081935,6.884055273015832,189.6973373474762,1.5336156070060403,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.02,5,120,9,600,480,0.4444444444444444,0.9333333333333333,0.9333333333333333,51,51,0,398,398,0,62.314830197966984,59.14266215081935,3.172168047147636,190.0571301341289,1.1738228203533354,61.14100737761365
7,VoltGuard risk-cost candidate screening,0.05,1,120,9,120,960,0.8888888888888888,0.8583333333333333,0.8583333333333333,51,51,0,398,398,0,67.23933338785275,59.14266215081935,8.096671237033405,188.48472138345863,2.7462315710236043,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.05,2,120,9,240,840,0.7777777777777778,0.8833333333333333,0.8833333333333333,51,51,0,398,398,0,66.21439746419327,59.14266215081935,7.071735313373921,189.5096573071181,1.7212956473641303,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.05,3,120,9,360,720,0.6666666666666666,0.9083333333333333,0.9083333333333333,51,51,0,398,398,0,65.58967556047416,59.14266215081935,6.447013409654815,189.6973373474762,1.5336156070060403,64.05605995346812
7,VoltGuard risk-cost candidate screening,0.05,5,120,9,600,480,0.4444444444444444,0.9333333333333333,0.9333333333333333,51,51,0,398,398,0,62.314830197966984,59.14266215081935,3.172168047147636,190.0571301341289,1.1738228203533354,61.14100737761365
7,VoltGuard risk-cost candidate screening,0.1,1,120,9,120,960,0.8888888888888888,0.8666666666666667,0.8666666666666667,51,51,0,398,398,0,66.90654778678686,59.14266215081935,7.763885635967512,188.81750698452453,2.4134459699577144,64.49310181682914
7,VoltGuard risk-cost candidate screening,0.1,2,120,9,240,840,0.7777777777777778,0.9083333333333333,0.9083333333333333,51,51,0,398,398,0,65.58967556047416,59.14266215081935,6.447013409654815,189.6973373474762,1.5336156070060403,64.05605995346812
7,VoltGuard risk-cost candidate screening,0.1,3,120,9,360,720,0.6666666666666666,0.95,0.95,51,51,0,398,398,0,64.05605995346812,59.14266215081935,4.913397802648774,191.23095295448223,0.0,64.05605995346812
7,VoltGuard risk-cost candidate screening,0.1,5,120,9,600,480,0.4444444444444444,0.9666666666666667,0.9666666666666667,51,51,0,398,398,0,61.14100737761365,59.14266215081935,1.9983452267942994,191.23095295448223,0.0,61.14100737761365
